Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BL,0.68004907502854,0.0250358038800207,1.43461136648188,0,0,0,0.216624982790517,0.000171878068130116,-3.33832683541553E-06,5.68766101385238E-07,0.000274157209842806,-2.34732330817513E-06,0.000179018138290511,0,0,0,0,0,0,package://Brazo4/meshes/BL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Brazo4/meshes/BL.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,-0.000309793943073955,-0.00513409677808996,-0.0762146130753223,0,0,0,0.392037903021729,0.0010305315081974,-2.30657987313236E-06,-4.7995776810544E-06,0.00112787372936762,-3.16229732071866E-05,0.000375839383901312,0,0,0,0,0,0,package://Brazo4/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Brazo4/meshes/L1.STL,,1st-1,Origin_J1,Axis_J1,J1,revolute,0.68259,-1.4348,0.0445,3.1416,0,0,BL,0,0,1,0,0,0,0,,,,,,,,
L2,-0.0493756831059547,-0.00301554846344509,-0.129289015408759,0,0,0,0.601755016238767,0.00308506853634869,-3.89378178455608E-05,-0.000774922123386249,0.0026199807500654,-0.000101700297074094,0.00135154984802928,0,0,0,0,0,0,package://Brazo4/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Brazo4/meshes/L2.STL,,2st-1;3rd-1,Origin_J2,Axis_J2,J2,revolute,0,0,-0.060218,0,-0.23011,0,L1,0,1,0,0,0,0,0,,,,,,,,
L3,0.161138326166615,0.0229391632136013,-0.0330352082663228,0,0,0,0.150214193499823,3.8962042143273E-05,-1.88798036481879E-06,3.77138125625583E-05,0.000223777685716378,3.22888902910438E-07,0.000214613686148874,0,0,0,0,0,0,package://Brazo4/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Brazo4/meshes/L3.STL,,4th-1;5th-1,Origin_J3,Axis_J3,J3,revolute,-0.16402,0.010151,-0.42946,3.1416,-0.504,3.1416,L2,0,1,0,0,0,0,0,,,,,,,,
L4,-0.00269903375587649,-0.0173904129270954,-0.00408667730492152,0,0,0,0.0310036200190479,9.25098038318168E-06,-2.61769794792403E-07,-4.91764161077723E-07,8.96685575236947E-06,-3.96344741142352E-07,8.83116428805205E-06,0,0,0,0,0,0,package://Brazo4/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Brazo4/meshes/L4.STL,,6th-1,Origin_J4,Axis_J4,J4,revolute,0.25324,0,-0.051868,0,-0.49774,0,L3,0,1,0,0,0,0,0,,,,,,,,
